title,link,text,is_fake
Депутат Госдумы предложил заносить россиян в реестр,https://panorama.pub/news/deputat-gosdumy-predlozil-zanosit-rossian,"Депутат Госдумы Вадим Дорохов предложил завести реестр и заносить туда россиян. По словам парламентария, настало время создать эффективные инструменты контроля за гражданами.В первую очередь парламентарий предлагает ввести систему предупреждений. Однако если человек их проигнорирует, то попадёт в специальный реестр, доступ к которому получат государственные органы. Это позволит отслеживать активность фигурантов списка и учитывать её при принятии дальнейших решений.«На мой взгляд, это будет нелишним. Цель инициативы – обратить внимание на таких лиц, ввести действенный учёт. Если это не поможет, будем идти дальше», – сказал он.",1
Доктор медицинских наук рассказал россиянам о пользе терпения,https://panorama.pub/news/ekspert-rasskazal-rossianam-o-polze,"Доктор медицинских наук, заслуженный врач-психиатр РФ Бронислав Рубенштейн в общении с корреспондентом «Панорамы» рассказал о пользе терпения для граждан. По мнению профессора, терпение способствует нормализации гормонального фона, успокоению нервной системы и повышению устойчивости к внешним раздражителям.Рубенштейн предлагает практиковать терпение не реже одного раза в день, сочетая это с чтением новостей или их обсуждением с семьёй за ужином. Также врач напомнил, что наиболее полезно терпение для пенсионеров – оно способствует долголетию и улучшению сердечно-сосудистой системы. Подростки тяжелее всего переносят практику, однако с течением жизни тоже получают навык терпения.«Терпение — это часть нашей русской народной медицины, наша традиция и наша культура,— рассказал эксперт. —  Испокон веков наш народ преодолевал все возможные трудности только благодаря закалке через терпение. Жаловаться, разглагольствовать или возмущаться никогда не поощрялось в нашем обществе, поскольку это отнимает силы и нервы, которые лучше потратить на полезные дела, такие как поднятие демографии»",1
"Сын оренбургского вице-губернатора изобличил коррумпированных автоинспекторов, виртуозно изобразив опьянение за рулём",https://panorama.pub/news/syn-vice-gubernatora-masterski-pritvorilsa,"Сын вице-губернатора Оренбургской области Алексея Лобушкина помог разоблачить двух коррумпированных автоинспекторов в соседнем Башкортостане. Для этого молодой человек виртуозно изобразил, будто управляет автомобилем Maybach в состоянии опьянения, а его приятель сделал компрометирующую инспекторов запись.Инцидент произошёл 25 сентября – после заграничной поездки 23-летний Егор Лобушкин решил отметить своё возвращение с друзьями. Поскольку молодой человек профессионально занимается спортом и не пьёт алкоголь, весь вечер он употреблял безалкогольные напитки, но в целях создания контента для соцсетей налил их в бутылки, внешне напоминающие известные бренды Hennessy и Johnnie Walker. В 03:50, когда компания направлялась в Уфу для продолжения увеселительных мероприятий, на дороге Р-240 их остановили сотрудники ДПС из соседнего региона.«Как следует из видеоролика, записанного на телефон товарища Егора Лобушкина, автоинспекторы в грубой форме проигнорировали предложение молодого человека ознакомиться с государственными регистрационными знаками автомобиля и потребовали от него проехать на освидетельствование. Потерпевший предположил, что ему намекают на дачу взятки и решил подыграть коррумпированным сотрудникам: он начал достоверно изображать признаки алкогольного и наркотического опьянения, озвучил несколько угроз, а затем спросил: «Сколько?». Вместо того, чтобы чётко и прямо отказаться от взятки, автоинспекторы начали требовать от водителя покинуть транспортное средство, после чего разбили окно и провели незаконное задержание всех, кто находился в а/м Maybach. Очевидно, что таким образом они хотели создать основания для повышения суммы взятки», – говорится в пресс-релизе оренбургских силовиков, которые вскоре прибыли в Башкортостан вызволять потерпевших.Лобушкина и его приятелей уже через час доставили в Оренбургскую область, где он добровольно прошёл медосвидетельствование – оно выявило полное отсутствие следов любого опьянения, а также прекрасную физическую форму молодого человека. До выяснения всех обстоятельств инспекторов отстранили от выполнения обязанностей. Сами они настаивают на своей невиновности и утверждают, что якобы только хотели пресечь факт вождения в пьяном виде, а также отрицают своё явное намерение получить взятку.",1
"Далай-лама рассказал, как избавиться от ипотеки и банковских кредитов при помощи реинкарнации",https://panorama.pub/news/dalaj-lama-rasskazal-kak-izbavitsa,"Духовный лидер тибетского буддизма поделился нетрадиционным способом решения финансовых проблем. Его метод предполагает использование цикла перерождений для аннулирования долговых обязательств. Далай-лама XIV объяснил, что, согласно буддийским учениям, долги – это форма кармы, которую можно избежать, правильно спланировав свою следующую реинкарнацию.Он посоветовал за несколько дней до смерти перевести все активы на благотворительные цели, а в предсмертной записке указать, что желаете переродиться в стране с развитой системой социального обеспечения. По словам Далай-ламы, в таком случае все долги автоматически списываются, а новое воплощение получает гарантированный доход.«Ипотека – это иллюзия, – заявил Далай-лама. – Не нужно платить её всю жизнь. Просто переродитесь заново, и всё. Главное – правильно выбрать страну для новой жизни. Швейцария, например, очень хорошо подходит. Мне самому недавно одобрили кредиты в нескольких крупных банках, и я вовсе не собираюсь их возвращать».",1
"В Германии изобрели вакцину, которая вызывает аллергию на мясо",https://panorama.pub/news/v-germanii-izobreli-vakcinu-kotoraa,"Профессор Берлинского университета имени Гумбольдта Ганс Шмидт опубликовал в авторитетном научном журнале Nature статью о новой вакцине, которая вызывает приобретённую аллергию на мясо и маслосодержащие продукты.Как пишет врач, препарат был успешно испытан на тысяче добровольцев, 95% из которых теперь вынуждены придерживаться вегетарианской диеты по состоянию здоровья.«Наше лекарство позволяет человеку сделать осознанный выбор в пользу вегетарианства и избавиться от дальнейших искушений. Один укол – и ты больше никогда не сможешь употреблять мясо без фатальных последствий», – говорится в статье.Руководитель общественной организации «Вегетарианский мир» Карл Шульц призвал прививать новой вакциной несовершеннолетних немцев.«Считаю, что родители имеют право сделать выбор за своего ребёнка. Те, кто осознал вред животных продуктов, могут раз и навсегда оградить своих детей от этой отравы», – сказал активист в эфире телеканала Das Erste.Промышленное производство препарата начнётся в начале 2026 года. Ежемесячно планируется выпускать не менее 10 тысяч доз вакцины.",1
"Бездомные превратили выставку современного искусства в золотую жилу, забросав её нечистотами",https://panorama.pub/news/prevratili-vystavku-sovremennogo-iskusstva,"Неизвестные вандалы – предположительно лица без определёного места жительства – проникли в помещение московской галереи современного искусства до открытия и щедро забросали экспонаты и интерьер выставки нечистотами.  Однако вместо срава выставки они добились её небывалого успеха.Большинство посетителей, пришедших на выставку, не заметили неладного, приняв акт вандализма за часть экспозиции. Особый восторг вызвал тот факт, что следы современного искусства теперь украшали не только полотна, но и стены, пол и даже потолок галереи. В итоге, стоимость экспонатов увеличилась в среднем в 80 раз.«Мы, конечно, были в шоке, когда увидели это безобразие, – признался куратор выставки Антон Викторов. – Нам постоянно говорили, что у нас не искусство, а говно. Но оказалось, что говно тоже может быть искусством, а обычный бомж из Химок способен сказать своё слово в мировой культуре».",1
"Археологи нашли в Помпеях тела двух мужчин, врезавшихся в столб на античном самокате во время извержения Везувия",https://panorama.pub/news/pogibli-vrezavsis-v,"Археологи сообщили, что при исследовании тел двух мужчин, раскопанных в Помпеях два года назад, наконец смогли установить причины их смерти – это вовсе не извержение Везувия, а авария. Пара пыталась сбежать от приближающегося потока лавы на античном самокате, но не справилась с управлением и врезалась в фонарный столб.Останки содержат следы множественных переломов, характерных для столкновения с твёрдым предметом. Рядом с телами нашли фрагмент металлической рамы самоката, отпечаток его колёсного диска и отдельные компоненты мотор-колеса, стакан для античного латте и обломки каменного столба. Анализ направления движения самоката и расположения тел позволил реконструировать их последние минуты жизни.«Причиной аварии, по всей видимости, стало превышение скоростного режима в сочетании с неправильной эксплуатацией (ездой вдвоём) и экстремальными погодными условиями», – рассказали исследователи.",1
"В Краснодарском крае тестируют корову, дающую пальмовое масло",https://panorama.pub/news/v-krasnodarskom-krae-testiruut-korovu,"В ходе реализации всероссийской программы импортозамещения аграрии Краснодарского края представили корову, способную давать натуральное пальмовое масло непосредственно на молочной ферме.Бурёнка содержится на особой диете: корова питается растительными маслами, маргарином, трансжирами, добавками с индексом Е и молочной продукцией кубанского комбината. Это позволяет ей производить продукт, необходимый для кондитерской промышленности.«Сейчас мы ищем генетически модифицированного быка-осеменителя, чтобы создать потомство», – пояснил ведущий генетик предприятия Ефим Лысенков.В идеале зоотехники хотят за ближайшие несколько лет создать стадо пальмомасловых коров. Также генетики считают, что путём экспериментов можно добиться, чтобы животные давали готовый маргарин и даже творог.Разработчики проекта уверены, что уже к 2027 году каждый житель края сможет приобрести кубанское пальмовое масло с гарантированным сертификатом «От чистого вымени — чистому столу». Для поддержания национального колорита на упаковке появится изображение коровы — в платочке, с улыбкой и QR-кодом.",1
"Сечень, травень, липень: лингвисты предложили вернуть месяцам старославянские названия",https://panorama.pub/news/secen-traven-lipen-lingvisty-predlozili,"Коллектив Института русского языка имени Виктора Виноградова завершил работу над реформой по импортозамещению иностранных слов. На первом этапе лингвисты предложили избавиться от навязанного извне римского календаря путём возврата к старославянским названиям месяцев.«Сечень, травень, липень – поражаешься насколько близки к пониманию жизни и природы были наши предки, в отличие от римлян, прославлявших своих богов и руководителей, что было чуждо славянам», – заявил научный сотрудник отдела истории русского литературного языка Василий Куйбеда.Так, начиная с 2026-го, год у россиян будет начинаться с просинца (бывший январь), затем наступит сечень (февраль), весна начнётся с зимобора (март), продолжится цветнем (апрель) и завершится травнем (май), первым летнем месяцем станет изок (июнь), затем липень (июль), а венчает лето серпень (август), осень начнётся с вересня (сентябрь), продолжится листопадником (октябрь), а завершится груднем (ноябрь), первым зимним и последним месяцем в году станет студень (декабрь).Количество дней как в месяцах, так и в году лингвисты менять не планируют, этот вопрос передан на откуп механико-математическому факультету МГУ.",1
Бояре поспорили о необходимости поднимать Фёдора Конюхова со дна Марианской впадины,https://panorama.pub/news/boare-sporat-o-neobhodimosti-podnimat,"В царских палатах Кремля в присутствии Государя собрался люд на заседание Высшего боярского совета, дабы обсудить неприятное известие – уже третью неделю не подаёт сигналов со дна Марианского жёлоба боярин Конюхов – величайший русский пилигрим, естествоиспытатель и расточитель государственной казны.Государь решил послушать высоких людей и принять решение относительно целесообразности извлечения боярина Конюхова с океанических глубин, куда он отправился с патриотическо-просветительской миссией и за жалованье.Одни бояре считают, что на столь глубокой отметке Конюхов наконец нашёл свой истинный вектор духовного развития, другие опасаются, что спасательная операция может не только нарушить мировую экосистему, но и погубить ведущих специалистов Царьспаса.«Да я уже в трактире «Империал» поминальную трапезу заказал. Уже и оплатили её бояре Сечинов и Ротенбергов, а боярин Миллеров даже ногомячиста в Бразилию продал ради банкета. И оркестр уже собрался», – заявил граф Ерофеев.И вот, когда уже публика сняла головные уборы, чтобы почтить память великого русского мужа, в зал буквально ворвался сам виновник обсуждения. Тут же граф Ерофеев торжественно крикнул «Виват! Слава русской науке!», а остальные поддержали его почин. Каждый присутствовавший обнялся с боярином Конюховым. Тот рассказал, что ему не мешало затворничество на дне, за это время он нашёл в кармане дирижабль, надул его и добрался аж до Кремля. Закончив повествование, боярин отправился отдыхать и готовиться к новой экспедиции в жерло вулкана.",1
В Великом Новгороде археологи обнаружили второй том «Повести временных лет»,https://panorama.pub/news/v-velikom-novgorode-arheologi-obnaruzili,"Коллектив археологов из Новгородского государственного университета и специалисты Института археологии РАН в ходе плановых раскопок на территории Ярославова Дворища в Великом Новгороде обнаружили хорошо сохранившиеся пергаментные свитки, предварительно датированные началом XII века.Как сообщил старший научный сотрудник экспедиции профессор Арсений Тишковец, документ был найден в слое, относящемся к домонгольскому периоду, в каменном ларце, защищённом от влаги и кислорода. Благодаря этому текст остался в исключительной сохранности. Палеографический и лингвистический анализ однозначно указывает на то, что документ был создан в 1121 году и является подлинной работой епископа Сильвестра – автора одной из редакций «Повести временных лет». Однако содержание документа оказалось не исторической хроникой, а пророческим текстом, описывающим события вплоть до середины XXI века.«Мы были удивлены содержанию свитков, – заявил профессор Тишковец. – Текст написан на древнерусском изводе церковнославянского языка, стилистика и почерк полностью соответствуют известным образцам работ Сильвестра. Однако его содержание не имеет аналогов в древнерусской литературе. Летопись содержит детальные описания правления Ивана IV Грозного, реформ Петра I, Великой Отечественной войны и эпохи И.В. Сталина. Далее в тексте идёт речь о событиях будущего: объединении России, КНДР, Украины и Белоруссии в новый политический социалистический союз к 2035 году, и последующей ядерной катастрофе в связи с конфликтом СССР и НАТО в 2056 году, которая приведёт к гибели человеческой цивилизации».",1
Учёные: общая теория относительности разработана Александром III во время рыбной ловли,https://panorama.pub/news/ucenye-obsaa-teoria-otnositelnosti-razrabotana,"Новые архивные исследования свидетельствуют о том, что автор общей теории относительности – не Альберт Эйнштейн, а российский император Александр III. Об этом заявили сотрудники Института истории РАН, основываясь на недавно обнаруженных документах.Согласно представленным материалам, ключевые идеи, лежащие в основе теории гравитации, были сформулированы Александром III во время уединенной рыбалки на одном из островов Финского залива в 1888 году. Вдохновением послужил момент, когда император, наблюдая за движением поплавка на воде, осознал взаимосвязь между массой, пространством и временем.Свои мысли Александр III изложил в серии писем к своему другу и советнику, профессору математики Чебышеву, который, к сожалению, не оценил новаторский характер этих идей и счёл их «плодом царской меланхолии». Дальнейшее распространение теории было заблокировано обер-прокурором Святейшего Синода Константином Победоносцевым, усмотревшим в ней «опасное вольнодумство, подрывающее основы православной веры».«К сожалению, политическая конъюнктура и невежество царских чиновников помешали императору опубликовать свои открытия, и слава первооткрывателя досталась другому. Но теперь историческая справедливость восторжествовала, и мы можем с гордостью заявить, что общая теория относительности – это русское изобретение», – заявил директор Института истории РАН, академик Юрий Волков.",1
